TWEET_ID_ANON,USER_ID_ANON,TWEET_TEXT,CREATED_AT
1,1,"Deberían eliminar a las malas personas y a los que odiamos vivir
... el mundo sería mejor sin nosotros",Sat Oct 28 16:07:06 +0000 2017
2,1,Ya deja de intentar contarle tus problemas a alguien. Entiende A NADIE LE IMPORTAS!!!!!,Thu Nov 02 06:25:04 +0000 2017
3,1,"La tristeza es lo más fácil de ocultar de todos los sentimientos que trae consigo la depresión

#LaDepresiónEsMulticolor",Thu Dec 14 02:06:52 +0000 2017
4,1,"De las peores cosas de la depresión es que no te deja ganas de vivir... Ni de matarte.
Sólo te tiene aquí, agonizando",Sun Jul 16 19:30:11 +0000 2017
5,1,"La soledad es lo único constante en mi vida. Creo que nunca conoceré el AMOR, la AMISTAD, la FELICIDAD... lo que es VIVIRYa me cansé!",Mon Oct 23 02:52:07 +0000 2017
6,1,"Quiero desaparecer, pero al mismo tiempo quisiera que alguien se diera cuenta el infierno en el que vivo",Fri Mar 03 06:13:00 +0000 2017
7,1,"No madre, no estoy enferma de flojera
no, no tengo narcolepsia

...ME ESTÁ CONSUMIENDO LA DEPRESIÓN",Fri Feb 09 08:10:02 +0000 2018
8,1,"Mi vida no tiene sentido.

...tengo las mismas ganas de irme de este mundo, como aquel que está en una fiesta donde… EXTERNAL_LINK",Fri Nov 10 19:58:48 +0000 2017
9,1,"Ya me cansé de ser gorda
Ya me cansé de ser un fracaso
Ya me cansé de ser
... Ya quiero irmeeeeeeeee!!!",Mon Nov 06 22:34:05 +0000 2017
10,2,Según mis cálculos yo ya debería estar muerta,Sun Apr 15 00:32:27 +0000 2018
11,2,"odio sentirme tan incómoda rodeada de gente, odio sentirme insegura cuando la gente me mira",Thu Mar 29 01:19:10 +0000 2018
12,2,Cada día más ganas de morir,Tue May 08 19:51:21 +0000 2018
13,2,"Que raro se siente estar en neutro, ni triste ni feliz, solo estás ahí, sin sentir nada",Sat May 05 22:09:07 +0000 2018
14,2,"soy tan tóxica conmigo misma que me pongo a pensar cosas que me hacen mal o me imagino situaciones para ponerme mal, no doy más de pelotuda",Thu Mar 22 01:44:07 +0000 2018
15,2,"Nunca les paso que se empiezan a sentir triste de la nada, y sentis un vacío dentro tuyo que no sabes cómo llenar y… EXTERNAL_LINK",Tue Mar 20 22:57:37 +0000 2018
16,2,"Necesito atención y contención constante porque tengo 0 estabilidad mental y emocional, que paja relacionarse conmigo",Wed Mar 28 02:30:49 +0000 2018
17,2,Ultimamente mi estabilidad emocional esta mas inestable que el clima en otoño me encantaría tener un botón que diga… EXTERNAL_LINK,Sun Apr 15 01:36:22 +0000 2018
18,2,"Es muy feo cuando se te juntan tus problemas con el estrés, ansiedad, depresión, es como una bomba a punto de explotar",Wed Apr 25 23:14:16 +0000 2018
19,2,Que bueno sería despertar con autoestima,Fri May 11 02:07:01 +0000 2018
20,2,Tanto dolor me esta consumiendo,Sat May 12 23:38:23 +0000 2018
21,2,"Odio esos días en los que no sabes qué te pasa, te falta algo, alguien, no lo sabes, pero estás re bajón",Thu Mar 29 18:50:34 +0000 2018
22,3,Me quiero morir ya.,Fri May 12 08:29:32 +0000 2017
23,3,"No sé si esta noche podré pormir,ñe.",Mon Jan 09 23:50:54 +0000 2017
24,3,Creo que ya nada puede llenar el vacio que siento dentro de mi.,Sat Apr 22 08:27:22 +0000 2017
25,3,Siento una necesidad muy grande de autolesionarme.,Tue Jul 12 15:11:28 +0000 2016
26,3,Quiero dejar de llorar por todo.,Tue Jun 07 19:17:00 +0000 2016
27,3,Siempre me siento mal.,Fri Apr 21 21:03:49 +0000 2017
28,3,"Que mal me siento,que mal.",Mon Jan 09 23:32:19 +0000 2017
29,3,No sabía que me podia llegar a doler tanto una cosa así...,Mon Jan 09 23:35:09 +0000 2017
30,3,No tengo ganas de vivir.,Thu Oct 13 18:23:48 +0000 2016
31,3,Qué difícil es todo.,Wed Jul 27 20:37:47 +0000 2016
32,3,"A veces quiero desaparecer y ver a quien le importo,pero luego pienso en que no le importo a nadie,y se me quitan las ganas de todo.",Sat Apr 15 20:14:37 +0000 2017
33,3,"No consigo animarme con nada. Solo quiero sentir lo de antes,no sentir ese puto dolor.",Fri Jul 08 12:18:38 +0000 2016
34,4,"Me despierto por una pesadilla que me deja pensando por horas, no lo soporto..",Mon Mar 05 09:02:23 +0000 2018
35,4,Nose para que vine a este mundo si solo tengo y causo problemas..,Wed Feb 07 04:21:12 +0000 2018
36,4,Mi presentimiento de que iba a ser un año de mierda se cumplió..,Fri Feb 09 01:08:47 +0000 2018
37,4,"Ocultas la Depresión detrás de una sonrisa y un ""Estoy Bien""..",Wed Feb 14 03:09:11 +0000 2018
38,4,Siento que todo el mundo se alejó de mí por ser una molestia o simplemente una carga..,Mon Jan 22 05:25:34 +0000 2018
39,4,"La Depresión no es siempre la chica que grita en el baño o el chico que siempre lleva mangas largas, no siempre son… EXTERNAL_LINK",Fri Feb 02 16:35:00 +0000 2018
40,4,Y es realmente deprimente saber que nunca he sido suficiente para alguien..,Fri Feb 09 03:36:36 +0000 2018
41,4,"Estos días mi cabeza no descansa, piensa, piensa y piensa, me ahoga, me lastima, me confunde, me hiere..",Fri Feb 02 15:45:11 +0000 2018
42,4,Que vida de mierda tengo..,Sun Feb 04 22:40:52 +0000 2018
43,4,Algún día podré dejar de sentirme tan mierda?..,Mon Jan 22 05:33:13 +0000 2018
44,4,Solo quiero dormir y llorar..,Thu Feb 22 15:36:22 +0000 2018
45,4,Odio no poder dormir porque pienso demasiado y me largo a llorar..,Sun Jan 28 07:45:33 +0000 2018
46,4,Otra noche donde no puedo dormir porque los pensamientos no me dejan tranquila..,Tue Jan 23 08:54:23 +0000 2018
47,4,"Mi adolescencia y juventud se baso en llorar, cortes, crisis depresivas, sentirme sola y una completa mierda, odiar… EXTERNAL_LINK",Mon Nov 13 01:59:58 +0000 2017
48,4,Estoy cansada de fracasar en todo..,Tue Feb 06 04:12:29 +0000 2018
49,4,"Ya no quiero vivir más, tengo miedo al resto del año..",Tue Feb 27 13:07:49 +0000 2018
50,4,"Han regresado a mí la Tristeza, la Soledad, la Depresión, el Miedo, la Ansiedad, el Odio, las ganas de cortarme, la… EXTERNAL_LINK",Mon Jan 22 05:37:48 +0000 2018
51,5,Cansada de ODIARME.,Sun Jan 28 14:59:43 +0000 2018
52,5,"Las lágrimas caen por mi rostro, estoy sola, no tengo a nadie.",Tue Mar 06 04:12:09 +0000 2018
53,5,"Estoy tan sola, tan triste, tan rota.",Tue Jan 09 05:12:55 +0000 2018
54,5,No merezco estar viva.,Sun Jan 28 07:34:10 +0000 2018
55,5,En serio estoy triste por ser como soy.,Fri Feb 09 04:42:56 +0000 2018
56,5,"Me siento como un fantasma, no soy nadie.",Fri Mar 02 04:40:52 +0000 2018
57,5,Me parece imposible que alguien se fije en mí.,Fri Feb 02 05:47:49 +0000 2018
58,5,"Me podés preguntar como estoy y siempre te voy a decir que bien. Mis sentimientos ya no me importan, puedo hundirme y me da igual.",Fri Mar 02 04:39:15 +0000 2018
59,5,"Me quiero matar, tomé de más y dije un par de cosas que me pasan. Como que me odio, me corto y no estoy bien.",Tue Jan 30 02:14:16 +0000 2018
60,5,Alguien me extrañaría? A alguien le importaría?,Tue Jan 09 05:55:06 +0000 2018
61,6,"Siempre uno piensa que se puede salir del todo, y no volver a recaer nunca. 
Pero lamentablemente, aunque intentes… EXTERNAL_LINK",Fri Jan 05 03:30:41 +0000 2018
62,6,No veo razones para vivir. EXTERNAL_LINK,Tue Jan 10 17:50:13 +0000 2017
63,6,Odio tener recaídas! Eso muestra lo débiles que somos.,Sun Apr 01 04:48:36 +0000 2018
64,6,"Siempre la misma mierda, siempre me pasa todo a mí. 
Siempre arruinando todo.",Tue Jan 23 07:51:22 +0000 2018
65,6,Que ganas de mandar todo a la mierda y morirme de una buena vez por todas.,Wed Jul 19 23:41:31 +0000 2017
66,6,Todo en mi mundo es una mierda.,Mon Feb 12 14:49:08 +0000 2018
67,6,"Después de tanto tiempo, hoy siento que voy a volver a caer.",Sun Nov 19 23:20:10 +0000 2017
68,6,Me estan volviendo a invadir los pensamientos negativos.,Sun May 21 03:08:39 +0000 2017
69,6,"Cuándo uno cree que ya salió de todo esto, siempre pasa algo que te vuelve a hacer recaer,  es algo interminable.",Sun Mar 18 22:35:45 +0000 2018
70,6,Otra vez empiezo a sentirme sola..  Vacia.,Sat Mar 18 20:59:00 +0000 2017
71,6,Siempre termino estando sola. Siempre.,Mon Feb 26 15:00:20 +0000 2018
72,7,"Mirenmen ,no valgo nada",Sun Sep 06 03:26:33 +0000 2015
73,7,Cansada de mi vida,Wed Jul 22 21:58:40 +0000 2015
74,7,"No soy una persona estable, no te acerques a mi",Mon Jul 27 00:44:38 +0000 2015
75,7,Yo ya no puedo ser fuerte porque no tengo fuerzas,Wed Jul 22 22:01:50 +0000 2015
76,7,Simplemente estoy cansada de que me fallen y sentirme una mierda todo él tiempo.,Wed Oct 21 17:32:13 +0000 2015
77,7,Mi vida consiste en estar mal,Sat Aug 01 19:44:57 +0000 2015
78,7,Soy tan inútil,Wed Jul 15 22:43:24 +0000 2015
79,7,"Me canse ,explote y otra vez enloquecí",Sat Jan 02 23:15:31 +0000 2016
80,7,Todo es una mierda.,Sat Jul 11 16:14:30 +0000 2015
