id,tweet,processed_tweet,emotion
0,"""\""desastre tras desastre ... #catalunya #españa https://t.co/Ey11wvwUWx\""""",desastre tras desastre,sad
1,"""\""No había ninguna duda... y la cubana!!! https://t.co/V1RYqUMQuq\""""",no haber ninguno duda cubana,not-relevant
2,"""\""En 1año los sanitarios hemos pasado de ser aplaudidos como de agradecimiento frente al COVID,a ser infravalorados por parte de la población y menospreciados por los puestos de gestión y responsabilidad de hospitales.Traslados forzosos, planillas semanales\""""",año sanitario haber pasar ser aplaudir agradecimiento frente covid ser infravalorar parte población menospreciar puesto gestión responsabilidad hospital traslado forzoso planilla semanal,sad
3,"Hey Donald espero que no saltarse sus medicamentos hcqs ellos muestran lo que son, de hecho, el doble de la dosis si se puede demostrar que están equivocados droga hidroxicloroquina triunfo aumenta el riesgo de muerte en pacientes covid dice estudio",esperar no saltar medicamento mostrar ser hecho doble dosis si poder demostrar equivocado droga triunfo aumentar riesgo muerte paciente covid decir estudio,sad
4,los cuales circular dice que si tengo una emergencia y quiero ir al hospital no ando al hospital y morir en mi camino esta implementación idiota del orden ha creado la mayor parte de pánico,circular decir si tener emergencia querer ir hospital no andar hospital morir camino implementación idiota orden haber crear mayor parte pánico,fear
5,por mi marido hasta que el coronavirus ha matado a más personas que los Clinton dejan de pánico y el acaparamiento tp,marido coronavirus haber matar persona dejar pánico acaparamiento,fear
6,un funcionario saudí instó a más de 1 millón de musulmanes que tengan la intención de realizar el Hajj a los planes de retardo haciendo este año en los comentarios que sugieren la peregrinación podría ser cancelada debido a la nueva pandemia coronavirus ...,funcionario saudí instar millón musulmán tener intención realizar plan retardo hacer año comentario sugerir peregrinación poder ser cancelar debido nuevo pandemia coronavirus,sad
7,lmao si el coronavirus no es tan grave ¿Por qué recibo menos horas y destacando sobre el alquiler mentir a alguien,si coronavirus no ser grave recibir menos hora destacar alquiler mentir alguien,fear
8,todas las salas de iglesias reino sinagogas que cancelaron sus servicios debido a la vergüenza virus de la corona en que u debe tener fe en que Dios tiene sus espaldas y no se preocupe de cancelar los servicios debe significar u verdaderamente no creen en dios ahora u ver la ciencia y que tienen miedo de la captura de él,sala iglesia reino sinagoga cancelar servicio debido vergüenza virus corona u deber tener fe dios tener espalda no preocupar cancelar servicio deber significar u verdaderamente no creer dios ahora u ver ciencia tener miedo captura,fear
9,_board que Tejaswini y ambos están haciendo un trabajo encomiable con especial atención a los niños segmento bordo aunque nos dieron a conocer que sólo durante el encierro han recomendado sus clips de vídeo de YouTube a muchos por favor continúe con el buen trabajo y todo lo mejor,ambos hacer trabajo especial atención niño segmento bordo aunque dar conocer sólo encierro haber recomendar clip vídeo mucho favor continúar buen trabajo mejor,happy
